Grapheme	mapping	frequency
 	 	28233
n	n	11854
h	h	9531
t	t	7009
g	g	5534
i	i	5430
c	c	5207
u	u	3395
m	m	2981
a	a	2582
o	o	2089
đ	đ	1990
á	á	1777
b	b	1753
l	l	1717
p	p	1687
r	r	1580
ư	ư	1330
y	y	1208
à	à	1203
k	k	1182
s	s	1154
v	v	1032
ạ	ạ	1022
d	d	972
ô	ô	862
â	â	859
ê	ê	839
ế	ế	834
ả	ả	767
ố	ố	728
ệ	ệ	691
ộ	ộ	687
x	x	619
ấ	ấ	610
ậ	ậ	606
ơ	ơ	592
í	í	590
q	q	538
ầ	ầ	471
ờ	ờ	461
ị	ị	450
ó	ó	450
ắ	ắ	448
ú	ú	433
ọ	ọ	430
ì	ì	418
ồ	ồ	404
ụ	ụ	402
ớ	ớ	385
ứ	ứ	379
ă	ă	362
ề	ề	353
e	e	337
ợ	ợ	328
ự	ự	326
ể	ể	286
ổ	ổ	283
ã	ã	275
ò	ò	256
ù	ù	255
ủ	ủ	245
ử	ử	221
é	é	214
ĩ	ĩ	210
ặ	ặ	207
ở	ở	206
ữ	ữ	187
ừ	ừ	185
ỏ	ỏ	176
ẩ	ẩ	160
ỉ	ỉ	159
è	è	144
ễ	ễ	119
ẻ	ẻ	115
ẫ	ẫ	113
ẹ	ẹ	110
ũ	ũ	105
ý	ý	94
ỡ	ỡ	81
ằ	ằ	80
ỗ	ỗ	79
õ	õ	57
ẳ	ẳ	47
ỷ	ỷ	46
ẽ	ẽ	32
ỵ	ỵ	20
f	f	17
ỳ	ỳ	16
ẵ	ẵ	12
z	z	10
ỹ	ỹ	5
'	'	2
w	w	2