'll	ʊ AF
accend	æ AD k s ɛ AD n d
accommodate	ə AD kʰ ɒ AF m ə AD d e AD ɪ AD t
accommodator	ə AD k ɒ AF m ə AD d e AD ɪ AD t ə AD
accreditation	ə AD k ɹ AN ɛ AD d ɪ AD t e AD ɪ AD ʃ ə AD n
accuracy	æ AD k j AB ʊ AF r ə AD s ɪ AD
acidophilus	æ AD s ɪ AD d ɑ AD f ɪ AD l ə AD s
adam	æ AD ɾ ə AD m
added	æ AD ɾ ɪ AD d
adelaide	æ AD d ɜ AD l æ AD ɪ̯ AK d
administrative	ə AD d m ɪ AD n ɪ AD s t̠ ɹ̠̊ʷ ə AD tʰ ɪ AD v
aerose	i AD ɹ AN ə AD ʊ AF z
agglutinin	ə AD ɡ l uː AG ʔ n̩ ɪ AD n
alacrity	ə AD l æ AD k ɹ AN ɨ AD t i AD
alban	a AD l b n̩
albicant	a AD l b ɪ AD k n̩ t
alder	ɔː AG l d ə AD
alders	ɔː AG l d ə AD z
alienation	e AD ɪ AD l i AD ə AD n e AD ɪ AD ʃ ə AD n
alignment	ə AD ɫ a AD ɪ AD n m ə AD n t
allergic	ə AD l ɚ BC d ʒ ɪ AD k
allergies	æ AD l ɚ BC d ʒ i AD z
allergy	æ AD l ɚ BC d ʒ i AD
almanac	ɔː AG l m ə AD n æ AD k
alpha	æ AD ɫ f ə AD
alternately	ɔː AG l t ɜ AD ɹ AN n ə AD t l ɪ AD
am	æ AD m
amazing	ə AD m e AD ɪ̯ AK z ɪ AD ŋ
amphibious	æ AD m f ɪ AD b i AD ə AD s
analects	æ AD n ə AD l ɛ AD k t s
andrew	æ AD n d ʒ ɹ AN ʊ̈ AF u AF
angst	e AD ɪ AD ŋ k s t
angsts	e AD ɪ AD ŋ k s t s
anthropomorphic	æ̃ AJ n̪ θ ɹ̠ ə AD p ə AD m ɔ AF ɹ̠ f ɪ̈ AD k
apple	æ AD p ɫ̩
appled	æ AD p ɫ̩ d
arbitration	ɑː AE b ə AD t̠ ɹ̠ e AD ɪ AD ʃ n̩
aristotle	æ AD r ɪ AD s t ɒ AF t ɫ̩
arlon	ɑː AE ɫ ɔː AG n
article	ɑː AE tʰ ɪ AD kʰ ə AD ɫ
atend	ə AD tʰ ɛ AD n d
attack	ə AD tʰ æ AD k
attar	æ AD t ə AD
attend	ə AD tʰ ɛ AD n d
attic	æ AD ɾ ɪ AD k
attraction	ə AD t ʃ ɹ AN æ AD k ʃ ɪ̈ AD n
attrition	ə AD t ɹ AN ɪ AD ʃ ə AD n
augustan	ɔː AG ɡ ʌ AD s t n̩
aula	ɔː AG l a AD
availability	ə AD v e AD ɪ AD l ə AD b ɪ AD l ɪ AD t ɪ AD
awara	ɒ AF w AC ʌ AD ɹ AN ʌ AD
ayuh	ˀe ɪ AD ʌˀ
baa	b ɑː AE
babbler	b æ AD b ə AD l ə AD ɹ AN
back	b æ AD k
bacterial	b æ AD k t ɪ AD ə AD ɹ AN i AD ə AD ɫ
baedeker	b e AD ɪ AD d ɪ AD k ə AD
bagful	b æ AD ɡ f ʊ AF ɫ
baikal	b a AD ɪ AD k ɑː AE ɫ
bail	b e AD ɪ̯ AK ə AD ɫ
balancelle	b æ AD l ə AD n s e AD ɫ
bald	b ɔː AG ɫ d
baldric	b ɔː AG ɫ d ɹ AN ɪ AD k
bale	b e AD ɪ̯ AK ə AD ɫ
balrog	b ɔː AG ɫ ɹ AN ɒ AF ɡ
balt	b ɔː AG l t
barn	b ɒ AF ə AD n
barrel	b æ AD ɹ AN ə AD ɫ
basal	b e AD ɪ AD s ə AD ɫ
bashful	b æ AD ʃ f ʊ AF ɫ
bashkortostan	b a AD ʃ k o̞ː AG ɹ AN t ə AD ʉ̯ s t æ AD n
bastille	b æ AD s t ɪ AD ə AD ɫ
bath	b ɑː AE θ
battle	b a AD tʰ ɫ̩
battlebus	b æ AD t ə AD ɫ b ʌ AD s
battlement	b æ AD t ə AD ɫ m ə AD n t
bauble	b ɔː AG b ə AD ɫ
baulk	b ɔː AG ɫ k
bautzen	b a AD ʊ AF t s ə AD n
bawl	b ɔː AG ɫ
beadle	b iː AE d ə AD ɫ
beagle	b iː AE ɡ ə AD ɫ
beared	b ɛː AE d
beatle	b iː AE t ə AD ɫ
beauty	b j AB u AF ɾ i AD
beazle	b iː AE z ə AD ɫ
becquerel	b ɛ AD k ə AD ɹ AN ɛ AD ɫ
bedevil	b ɪ AD d ɛ AD v ə AD ɫ
bedight	b ɪ AD d ʌ AD ɪ AD t
beetle	b i AD ɾ ə AD ɫ
befang	b ə AD f æ AD ŋ
better	b ɛ AD tʰ ə AD
betther	b ɛ AD t̪ ɚ BC
betting	b ɛ AD ɾ ɪ AD ŋ
bidet	b iː AE d e AD ɪ AD
bill	b ɪ AD ɫ
bitey	b a AD ɪ̯ AK ɾ i AD
bitter	b ɪ AD ʔ ə AD
bitty	b ɪ AD ɾ i AD
blem	b l ɛ AD m
blicky	b l ɪ AD k i AD
bockety	b ɑ AD k ə AD t iː AE
bold	b ɒ AF ʊ AF l d
boldly	b ɒ AF ʊ AF l d l i AD
bookcase	b ʊ AF kː e AD ɪ AD s
boot	b uː AG t
botanist	b ɒ AF t n̩ ɪ AD s t
bother	b ɒ AF ð ə AD ɹ AN
bottle	b ɒ AF t ɫ̩
bountiful	b a AD ʊ̯ AL n ɾ ə AD f ə AD ɫ
boutye	b ɐ AF ʏ AF t ʃ ə AD
bowl	b ɔ AF ʊ AF ɫ
bowling	b ɒ AF ʊ AF ɫ ɪ AD ŋ
brakeforce	b ɹ AN e AD ɪ AD k f ɔː AG ɹ AN s
breach	b ɹ AN iː AE t ʃ
break	b ɹʷ e AD ɪ̯ AK k
brighton	b ɹ AN a AD ɪ̯ AK ʔ ə AD n
british	b ɹ AN ɪ AD ʔ ɪ AD ʃ
buccopalatal	b ʌ AD kʰ o AF ʊː AG pʰ æː AE l ə AD ɾ ɫ̩
buffer	b ɐ AF f ə AD ɹ AN
bumboclaat	b ʌ AD m b ə AD k l ɑ AD t
but	b ɐ AF t
butted	b ʌ AD ɾ ɨ AD d
butter	b ʌ AD ʔ ɚ BC
butterfly	b ʌ AD ɾ ɚ BC f l a AD ɪ AD
butting	b ʌ AD ɾ ɪ AD ŋ
buttings	b ʌ AD ɾ ɪ AD ŋ z
button	b ʌ AD ʔ n̩
béchamel	b ɛ AD ʃ ə AD m ɛ AD ɫ
cacao	k ə AD kʰ ɑː AE ə AD ʊ̯ AL
cacoepy	k ə AD k ə AD ʊ AF ɪ AD p ɪ AD
cain	kʰ e AD ɪ AD n
cake	kʰ e AD ɪ AD k
call	kʰ o AF ɫ
cam	k æ AD m
cambodia	k æ AD m b o AF ʊ AF d i AD ə AD
came	kʰ e AD ɪ̯ AK m
camp	kʰ ɛ AD ə AD m p
can	kʰ ə AD n
can't	kʰ ɑː AE n t
cane	kʰ e AD ɪ AD n
cap	kʰ æ AD p
cappadocia	k æ AD p ə AD d o AF ʊ AF ʃ ə AD
caramba	k a AD ɹ AN a AD m b a AD
carbuncle	kʰ ɑː AE b ʌ AD ŋ k l̩
card	kʰ ɑː AE d
carload	kʰ ɑː AE l ə AD ʊ AF d
carving	k ɑ AD ɹ AN v ɪ AD ŋ
casserole	k æ AD s ɚ BC ɔ̹ ɫ
cat	kʰ æ AD t̚
cathedra	k ə AD θ iː AE d ɹ AN ə AD
caucasian	k ɔː AG k e AD ɪ AD ʒ ə AD n
caught	k̠ʰ oː AG t
cause	kʰ oː AG z̥
cauterize	kʰ ɔ AF ɾ ə AD ɹ AN a AD ɪ AD z
cavity	kʰ æ AD v ɪ AD ɾ i AD
ceili	k e AD ɪ AD l i AD
cereal	s ɪ AD ə AD ɹ AN iː AE ə AD ɫ
chance	t ʃʰ ɛ AD ə AD n s t ʃʰ e AD ə AD n s
charnel	t ʃ ɑː AE n ə AD l
chartreuse	ʃ ɑː AE t ɹ AN ɜː AE z
chatted	t ʃ æ AD ɾ ɨ AD d
cheated	t ʃ i AD ɾ ɨ AD d
china	t ʃʰ a AD ɪ̯ AK n ə AD
choo	t ʃ uː AG
cicada	s ɪ AD kʰ ɑː AE d ə AD
circle	s ɚ BC k ə AD ɫ
circuit	s ɜː AE k ɪ AD t
cital	s ʌ AD ɪ AD t l̩
clay	k l̥ e AD ɪ AD
clean	kʰ l̥ iː AE n
click	kʰ l̥ ɪ AD k
cliff	k l̥ʰ ɪ AD f
climb	kˡ l a AD ɪ AD m
clip	k l̥ʰ ɪ AD p
clit	k l̥ʰ ɪ AD t
coach	kʰ ə AD ʊ̯ AL t ʃ
coccus	kʰ ɑ AD k ə AD s
coconut	kʰ ə AD ʉ̯ k ə AD n ʌ AD t
collaboration	kʰ ə AD l æ AD b ə AD ɹ AN e AD ɪ̯ AK ʃ ə AD n
colt	k ɔ AF ʊ AF l t
come	kʰ ɐ AF m
comfortable	kʰ ʌ AD ɱ f tʰ ə̥ AD b ɫ̩
comfy	kʰ ʌ AD ɱ f i AD
comment	kʰ ɒ AF m ɛ AD n t
committee	k ə AD m ɪ AD t i AD
compare	k ə AD m p ɛː AE
comptroller	k ə AD m t ɹ AN o AF ʊ AF l ə AD ɹ AN
concoct	kʰ ə AD ŋ kʰ ɒ AF k t
confident	kʰ ɒ AF ɱ f ə AD d n̩ t
confirmation	kʰ ɒ AF ɱ f ə AD m e AD ɪ AD ʃ n̩
conservancy	k ə AD n s ɜː AE v ə AD n s ɪ AD
consigliere	k ɒ AF n s ɪ AD l j AB ɛ AD ɹ AN i AD
contestant	k ə AD n tʰ ɛ AD s t ə AD n t
conversation	kʰ ɒ AF ɱ v ə AD s e AD ɪ AD ʃ n̩
convert	kʰ ə̥ AD ɱ v ɛ AD ə AD t
cot	kʰ ɔ AF ʔ
cottage	k ɑ AD ɾ ɪ AD d ʒ
cougar	kʰ uː AG ɡ ə AD
coulda	kʰ ʊ AF d ə AD
couldn't	k ʊ AF n ʔ
countable	kʰ a AD ʊ AF n ɾ ə AD b ɫ̩
country	kʰ ʌ AD n t̠ ɹ̠̊ʷ i AD
coventry	kʰ ɒ AF v ə AD n t ʃ ɹ AN i AD
craytur	k ɹ AN eː AE t̪ ə AD ɹ AN
creation	k ɹ AN iːʲ e AD ɪ AD ʃ ɘ AD n
creep	kʰ ɹ AN iː AE p
crikey	k ɹ AN ɑ AD e̯ AK k ɪ AD i̯ AK
cryptography	k ɹ̥ AN ɪ AD p tʰ ɒ AF ɡ ɹ AN ə AD f iː AE
cuba	k j AB uː AG b ə AD
cuban	k j AB ʉː AG b ə AD n
cue	k j̥ AB ʉː AG
culprit	kʰ ʌ AD ɫ p ɹ AN ɪ AD t
cum	kʰ ʌ AD m
cunt	kʰ ʌ̃ AJ n t
cur	k ɜː AE
cursor	kʰ ɜː AE s ə AD
curve	kʰ ɜː AE v
cymbal	s ɪ AD m b ɫ̩
dance	d ɛ AD ə AD n s
dandle	d æ AD n d ə AD ɫ
dangleberry	d æ AD ŋ ɡ ə AD ɫ b ɛ AD ɹ AN i AD
daniel	d a AD n j AB ə AD l
dapple	d æ AD p ə AD ɫ
dappled	d æ AD p ə AD ɫ d
dardanelles	d ɑː AE d ə AD n ɛ AD ɫ z
daredevil	d ɛ AD ə AD d ɛ AD v ə AD ɫ
data	d æ AD ɾ ə AD
dayouth	d æ AD jː AH uː AG θ
dayum	d æ̙ j AB ə AD m
deacetyltransferase	d iː AE ə AD s iː AE t a AD ɪ AD ɫ t ɹ AN ɑː AE n s f ə AD ɹ AN e AD ɪ AD z
dealkylate	d iː AE æ AD ɫ k ɪ AD l e AD ɪ AD t
dealkylated	d iː AE æ AD ɫ k ɪ AD l e AD ɪ AD t ə AD d
dealkylating	d iː AE æ AD ɫ k ɪ AD l e AD ɪ AD t ɪ AD ŋ ɡ
dealkylation	d iː AE æ AD ɫ k ɪ AD l e AD ɪ AD ʃ ə AD n
dealkylative	d iː AE æ AD ɫ k ɪ AD l ə AD t ɪ AD v
dean	d ĩː n
debatable	d ɪ AD b e AD ɪ AD t ə AD b ə AD ɫ
debateful	d ɪ AD b e AD ɪ AD t f ə AD ɫ
debuggable	d iː AE b ʌ AD ɡ ə AD b ə AD ɫ
debulk	d iː AE b ʌ AD ɫ k
debunkable	d iː AE b ʌ AD ŋ k ə AD b ə AD ɫ
decadal	d ɪ AD k e AD ɪ AD d ə AD ɫ
decagonal	d ɪ AD k æ AD ɡ ə AD n ə AD ɫ
decahedral	d ɛ AD k ə AD h AA iː AE d ɹ AN ə AD ɫ
decalcification	d iː AE k æ AD ɫ s ɪ AD f ɪ AD k e AD ɪ AD ʃ ə AD n
decalcifier	d iː AE k æ AD ɫ s ɪ AD f a AD ɪ AD ə AD ɹ AN
decalcify	d iː AE k æ AD ɫ s ɪ AD f a AD ɪ AD
decalcifying	d iː AE k æ AD ɫ s ɪ AD f a AD ɪ AD j AB ɪ AD ŋ ɡ
decalcomania	d iː AE k æ AD ɫ k ə AD m e AD ɪ AD n ɪ AD ə AD
decanormal	d ɛ AD k ə AD n ɔː AG m ə AD ɫ
decaprenyl	d ɛ AD k ə AD p ɹ AN iː AE n a AD ɪ AD ɫ
decasulfide	d ɛ AD k ə AD s ʌ AD ɫ f a AD ɪ AD d
decasyllable	d ɛ AD k ə AD s ɪ AD l ə AD b ə AD ɫ
decidable	d ɪ AD s a AD ɪ AD d ə AD b ə AD ɫ
decidual	d ɪ AD s ɪ AD d ʒ ʊ AF ə AD ɫ
decile	d ɛ AD s a AD ɪ AD ɫ
decimal	d ɛ AD s ɪ AD m ə AD ɫ
decimole	d ɛ AD s ɪ AD m ə AD ʊ AF ɫ
decinormal	d ɛ AD s ɪ AD n ɔː AG m ə AD ɫ
decipherable	d ɪ AD s a AD ɪ AD f ə AD ɹ AN ə AD b ə AD ɫ
decisional	d ɪ AD s ɪ AD ʒ ə AD n ə AD ɫ
declarable	d ɪ AD k l æ AD ɹ AN ə AD b ə AD ɫ
decodable	d ɪ AD k ə AD ʊ AF d ə AD b ə AD ɫ
decomposable	d iː AE k ə AD m p ə AD ʊ AF z ə AD b ə AD ɫ
decompositional	d iː AE k ɒ AF m p ə AD z ɪ AD ʃ ə AD n ə AD ɫ
deconstructable	d iː AE k ə AD n s t ɹ AN ʌ AD k t ə AD b ə AD ɫ
deconstructional	d iː AE k ə AD n s t ɹ AN ʌ AD k ʃ ə AD n ə AD ɫ
decouplable	d ɪ AD k ʌ AD p ə AD l ə AD b ə AD ɫ
decouple	d iː AE k ʌ AD p ə AD ɫ
decoupler	d iː AE k ʌ AD p ə AD l ə AD ɹ AN
decoupling	d iː AE k ʌ AD p ə AD l ɪ AD ŋ
decremental	d ɛ AD k ɹ AN ə AD m ə AD n t ə AD ɫ
decryptable	d ɪ AD k ɹ AN ɪ AD p t ə AD b ə AD ɫ
deducible	d ɪ AD d j AB uː AG s ɪ AD b ə AD ɫ
deductable	d ɪ AD d ʌ AD k t ə AD b ə AD ɫ
deductible	d ɪ AD d ʌ AD k t ə AD b ə AD ɫ
defalcate	d ɛ AD f ə AD ɫ k e AD ɪ AD t
defalcation	d ɛ AD f ə AD ɫ k e AD ɪ AD ʃ ə AD n
defalcator	d ɛ AD f ə AD ɫ k e AD ɪ AD t ə AD ɹ AN
defatigable	d ɪ AD f æ AD t ɪ AD ɡ ə AD b ə AD ɫ
defaultable	d ɪ AD f ɔː AG ɫ t ə AD b ə AD ɫ
defaulter	d ɪ AD f ɔː AG ɫ t ə AD ɹ AN
defeasible	d ɪ AD f iː AE z ɪ AD b ə AD ɫ
defeatable	d ɪ AD f iː AE t ə AD b ə AD ɫ
defendable	d ɪ AD f ɛ AD n d ə AD b ə AD ɫ
defensible	d ɪ AD f ɛ AD n s ɪ AD b ə AD ɫ
deferential	d ɛ AD f ə AD ɹ AN ɛ AD n ʃ ə AD ɫ
deferrable	d ɪ AD f ɜː AE ɹ AN ə AD b ə AD ɫ
deferral	d ɪ AD f ɜː AE ɹ AN ə AD ɫ
defiable	d ɪ AD f a AD ɪ AD j AB ə AD b ə AD ɫ
defiled	d ɪ AD f a AD ɪ AD j AB ə AD ɫ d
definable	d ɪ AD f a AD ɪ AD n ə AD b ə AD ɫ
definitional	d ɛ AD f ɪ AD n ɪ AD ʃ ə AD n ə AD ɫ
deflectable	d ɪ AD f l ɛ AD k t ə AD b ə AD ɫ
deformable	d ɪ AD f ɔː AG m ə AD b ə AD ɫ
defoul	d ɪ AD f a AD ʊ AF ɫ
deglucosyl	d iː AE ɡ l uː AG k ə AD s ɪ AD ɫ
degradable	d ɪ AD ɡ ɹ AN e AD ɪ AD d ə AD b ə AD ɫ
dehydrocholesterol	d iː AE h AA a AD ɪ AD d ɹ AN ə AD k ə AD l ɛ AD s t ə AD ɹ AN ɒ AF ɫ
dehydroretinol	d iː AE h AA a AD ɪ AD d ɹ AN ə AD ɹ AN ɛ AD t ɪ AD n ɒ AF ɫ
deicidal	d e AD ɪ AD j AB ɪ AD s a AD ɪ AD d ə AD ɫ
delectable	d ɪ AD l ɛ AD k t ə AD b ə AD ɫ
delft	d ɛ AD ɫ f t
delphi	d ɛ AD ɫ f i AD
delphine	d ɛ AD ɫ f iː AE n
delphinium	d ɛ AD ɫ f ɪ AD n ɪ AD ə AD m
delta	d ɛ AD ɫ t ə AD
demicircle	d ɛ AD m ɪ AD s ɜː AE k ə AD ɫ
demographical	d ɛ AD m ə AD ɡ ɹ AN æ AD f ɪ AD k ə AD ɫ
dendrological	d ɛ AD n d ɹ AN ə AD l ɒ AF d ʒ ɪ AD k ə AD ɫ
dendrophile	d ɛ AD n d ɹ AN ə AD f a AD ɪ AD ɫ
denton	d ɪ AD n ʔ n̩
dependable	d ɪ AD p ɛ AD n d ə AD b ə AD ɫ
derivable	d ɪ AD ɹ AN a AD ɪ AD v ə AD b ə AD ɫ
derival	d ɪ AD ɹ AN a AD ɪ AD v ə AD ɫ
dermal	d ɜː AE m ə AD ɫ
dermatological	d ɜː AE m ə AD t ə AD l ɒ AF d ʒ ɪ AD k ə AD ɫ
dermoneural	d ɜː AE m ə AD n j AB ʊ AF ə AD ɹ AN ə AD ɫ
desirable	d ɪ AD z a AD ɪ AD j AB ə AD ɹ AN ə AD b ə AD ɫ
desktop	d ɛ AD s k t ɒ AF p
desktops	d ɛ AD s k t ɒ AF p s
despeckle	d iː AE s p ɛ AD k ə AD ɫ
diabolical	d a AD ɪ AD ə AD b ɒ AF l ɪ AD k ə AD ɫ
diasporan	d ʌ AD ɪ AD a AD s p ə AD ɹ AN n̩
dibutyl	d a AD ɪ AD b j AB uː AG t a AD ɪ AD ɫ
dictatorial	d ɪ AD k t ə AD t ɔː AG ɹ AN ɪ AD ə AD ɫ
diddle	d ɪ AD d ə AD ɫ
differential	d ɪ AD f ə AD ɹ AN ə AD n ʃ ə AD ɫ
diggle	d ɪ AD ɡ ə AD ɫ
diggles	d ɪ AD ɡ ə AD ɫ z
diisopropyl	d a AD ɪ AD a AD ɪ AD s ə AD ʊ AF p ɹ AN ə AD ʊ AF p a AD ɪ AD ɫ
dildo	d ɪ AD ɫ d ə AD ʊ AF
dimethylbenzene	d a AD ɪ AD m iː AE θ a AD ɪ AD ɫ b ɛ AD n z iː AE n
dingaling	d ɪ AD ŋ ə AD l ɪ AD ŋ
diphenol	d a AD ɪ AD f iː AE n ɒ AF ɫ
diphenyl	d a AD ɪ AD f iː AE n a AD ɪ AD ɫ
dirgeful	d ɜː AE d ʒ f ə AD ɫ
dirndl	d ɪ AD ə AD n d ə AD ɫ
disable	d ɪ AD s e AD ɪ AD b ə AD ɫ
disabled	d ɪ AD s e AD ɪ AD b ə AD ɫ d
disagreeable	d ɪ AD s ə AD ɡ ɹ AN i AD ə AD b ə AD ɫ
disapproval	d ɪ AD s ə AD p ɹ AN uː AG v ə AD ɫ
disavail	d ɪ AD s ə AD v e AD ɪ AD ɫ
disavowal	d ɪ AD s ə AD v a AD ʊ AF ə AD ɫ
disbursal	d ɪ AD s b ɜː AE s ə AD ɫ
disculpate	d ɪ AD s k ʌ AD ɫ p e AD ɪ AD t
disembowel	d ɪ AD s ɪ AD m b a AD ʊ AF ə AD ɫ
disentangle	d ɪ AD s ɪ AD n t æ AD ŋ ɡ ə AD ɫ
disentitle	d ɪ AD s ɪ AD n t a AD ɪ AD t ə AD ɫ
disfavourable	d ɪ AD s f e AD ɪ AD v ɹ AN ə AD b ə AD ɫ
disgraceful	d ɪ AD z ɡ ɹ AN e AD ɪ AD s f ə AD ɫ
disgust	d ɪ AD s k ʌ AD s t
dishevel	d ɪ AD s ʃ ɛ AD v ə AD ɫ
disloyal	d ɪ AD s l ɔ AF ɪ AD j AB ə AD ɫ
dismal	d ɪ AD z m ə AD ɫ
dismantle	d ɪ AD s m æ AD n tʰ ə AD ɫ
dismissal	d ɪ AD z m ɪ AD s ə AD ɫ
dispel	d ɪ AD s p ɛ AD ɫ
dispellable	d ɪ AD s p ɛ AD l ə AD b ə AD ɫ
dispensable	d ɪ AD s pʰ ɛ AD n s ə AD b ɫ̩
disposal	d ɪ AD s p ə AD ʊ AF z ə AD ɫ
disproportional	d ɪ AD s p ɹ AN ə AD p ɔː AG ʃ ə AD n ə AD ɫ
disrespectful	d ɪ AD s ɹ AN ɪ AD s p ɛ AD k t f ə AD ɫ
dissemble	d ɪ AD s ɛ AD m b ə AD ɫ
distil	d ɪ AD s t ɪ AD ɫ
distill	d ɪ AD s t ɪ AD ɫ
divinyl	d a AD ɪ AD v a AD ɪ AD n ɪ AD ɫ
divisible	d ɪ AD v ɪ AD z ɪ AD b ə AD ɫ
dna	d i AD ɛ AD n e AD ɪ AD
dniester	n iː AE s t ə AD
dojo	d ə AD ʊ̯ AL d ʒ ə AD ʊ̯ AL
done	d ʊ AF n
dope	d ə AD ʊ AF p
double	d ʌ AD b ɫ
dower	d a AD ʊ AF ə AD ɹ AN
drawn	d ɹ AN ɔː AG n
dreich	d ɹ AN iː AE x
drill	d ɹ AN ɪ AD ɫ
drink	d̠ ɹ̠ʷ ɪ AD ŋ k
drive	d̠ ɹ̠̝ʷ a AD ɪ AD v
drown	d̠ ɹ̠ʷ a AD ʊ AF n
drug	d̠ ɹ̠ʷ ʌ AD ɡ
drugs	d ʒ ɹ AN ʌ AD ɡ z
dunn	d ɐ AF n
eaten	iː AE ʔ n
emphasis	ɛ AD ɱ f ə AD s ɪ AD s
enabled	ɪ AD n e AD ɪ AD b ə AD ɫ d
encouragement	ɪ AD n k ʌ AD ɹ AN ɪ AD d ʒ m ə AD n t
entangle	ɛ AD n t a AD ŋ ɡ l̩
epigraphy	ʔ ɨ AD pʰ ɪː AE ɡ ɹ AN ə AD f iː AE
epimutation	ɛ AD p ɪ AD m j AB u AF t e AD ɪ AD ʃ ə AD n
epitaph	ɛ AD p ɪ AD t ɑː AE f
epitomic	ɛ AD p ɪ AD t ɒ AF m ɪ AD k
essential	ə AD s ɛ AD n t ʃ ə AD l
esteem	ɛ AD s t iː AE m
eugh	ʌ AD x
ew	ɪ̃ AJ ʉ̃ BA u AF
farrand	f æ AD ɹ AN ə AD n t
fastness	f æ AD s n ə AD s
fatal	f e AD ɪ AD ɾ ɫ̩
fatally	f e AD ɪ̯ AK ɾ l̩ i AD
fated	f e AD ɪ̯ AK ɾ ɨ AD d
fauces	f ɔː AG s iː AE z
fauxtograph	f oː AG t ə AD ɡ ɹ AN ɑː AE f
fauxtography	f oː AG t ɒ AF ɡ ɹ AN ə AD f i AD
feel	f iː AE ɫ
fence	f ɛ AD n t s
fencer	f ɛ AD n s ɚ BC
feudal	f j AB uː AG d ɫ̩
fiddy	f ɪ AD ɾ i AD
file	f a AD ɪ̯ AK ɫ
fill	f ɪ AD ɫ
filling	f ɪ AD ɫ l ɪ AD ŋ
film	f ɪ AD ɫ m
fitra	f ɪ AD tˤ ɾ a AD
fitz	f ɪ AD t s
flaithiúlach	f l æ AD h AA uː AG l ə AD x
flizz	f l ɪ AD z
flouted	f l a AD ʊ̯ AL ɾ ɨ AD d
flouting	f l a AD ʊ̯ AL ɾ ɪ AD ŋ
foot	fʷ ʊ AF t̚
football	fʷ ʊ AF ʔ t̚ b ɑ AD ɫ
foretell	f ɔː AG t ɛ AD ɫ
foretellable	f oː AG t ɛ AD ɫ ə AD b l̩
foundation	f a AD ʊ̯ AL n d e AD ɪ̯ AK ʃ n̩
fountain	f a AD ʊ AF n ʔ n̩
free	f ɹ AN ɪ AD i̯ AK
french	f ɹ̠ ɛ AD n̠ t ʃ
