'll	ʊ AF
friend	f ɹ̥ AN e AD n d̥
fro	f ɹ AN ə AD ʊ AF
fuck	f ʌ AD kʰ
fuel	f j AB u AF w AC ə AD ɫ
full	f ʊ AF ɫ
fur	f ɜ̝ː
furcal	f ɚ BC k ə AD ɫ
gaeltacht	ɡ e AD ɪ AD l t ə AD x t
gangtok	ɡ æ AD ŋ t ɒ AF k
gasoline	ɡ æ AD s ɵ AF l i AD n
gaumy	ɡ ɔː AG m i AD
genetic	d ʒ ɪ AD n ɛ AD t ɪ AD k
genkan	ɡ ɛ AD ŋ k ɑ AD n
getting	ɡ ɛ AD ɾ ɪ AD ŋ
glizzy	ɡ l ɪ AD z i AD
gmail	d ʒ iː AE m e AD ɪ AD l
gotta	ɡ ɒ AF ʔ ə AD
grass	ɡ ɹ̠ ɛ AD ə AD s
grated	ɡ ɹ AN e AD ɪ̯ AK ɾ ɪ AD d
gratified	ɡ ɹ AN æː AE ɾ ɨ AD f a AD ɪː AE d̚
grating	ɡ ɹ AN e AD ɪ̯ AK ɾ ɪ AD ŋ
grivna	ɡ ɹ AN ɪ AD v n ɑ AD
grow	ɡ ɹ AN ə AD ʊ̯ AL
grows	ɡ ɹ AN ə AD ʊ̯ AL z
guileless	ɡ a AD ɪ AD ɫ l ə AD s
guttle	ɡ ʌ AD ɾ l̩
guttural	ɡ ʌ AD ɾ ɚ BC ɫ̩
gyros	d ʒ a AD ɪ AD ɹ AN o AF ʊ AF z
h	æ AD ɪ AD t ʃ
hadith	h AA a AD d iː AE θ
hail	h AA e AD ɪ̯ AK ɫ
hang	h AA e AD ɪ AD ŋ
hangnail	h AA e AD ɪ AD ŋ n e AD ɪ̯ AK ɫ
happening	h AA æ AD p n ɪ AD n
hat	h AA a AD t
heading	h AA ɛ AD ɾ ɪ AD ŋ
health	h AA ɛ AD l̪ θ
hew	ç j AB uː AG
hexadecile	h AA ɛ AD k s ə AD d iː AE s a AD ɪ AD ɫ
hibernation	h AA a AD ɪ AD b əː AE n e AD ɪ AD ʃ n̩
high	h AA a AD ɪ̯ AK
hill	h AA ɪ AD ɫ
hiller	h AA ɪ AD l ə AD ɹ AN
him	ɪ̈ AD m
hinoki	h AA i AD n o AF k i AD
hitherto	h AA ɪ AD ð ə AD tʰ uː AG
hmm	m̥ m̩
hmmm	m̥ m̩ː
hold	h AA ə AD ʊ AF ɫ d
holding	h AA ə AD ʊ AF ɫ d ɪ AD ŋ
hole	h AA ə AD ʊ AF ɫ
holey	h AA ɒ AF ʊ AF ɫ l i AD
holier	h AA ɒ AF ʊ AF ɫ l i AD ə AD
holiest	h AA ɒ AF ʊ AF ɫ l i AD ɪ AD s t
homophobe	h AA ə AD ʊ AF m ə AD f ə AD ʊ AF b
hon	m̥ ɑ AD n
hood	h AA ʊ̈ AF d
hordesman	h AA ɔː AG d z m n̩
hotel	h AA oː AG t e AD l
housemother	h AA a AD ʊ AF s m ɐ AF ð ə AD ɹ AN
hrivna	ɦ AA ɹ AN ɪ AD u̯ AL nʲ ɑ AD
hubris	ç j AB u̟ː AG b ɹʷ ɪ AD s
hue	ç u̟ː AG
huge	ç u̟ː AG d ʒ
huh	h AA ʌ̃ AJ
human	ç j AB u̟ː AG m ə AD n
humanist	ç uː AG m ə AD n ɪ AD s t
humongous	ç u̟ː AG m ʊ AF ŋ ɡ ə AD s
hydra	h AA a AD ɪ̯ AK d ʒ ɹ AN ə AD
hyperhidrosis	h AA a AD ɪ AD p ə AD ɹ AN h AA a AD ɪ AD d ɹ AN o AF ʊ AF s ɪ AD s
hypotenuse	h AA a AD ɪ AD p ɒ AF ʔ n̩ j AB uː AG z
háček	ɦ AA ɑː AE t ʃ ɛ AD k
iced	a AD ɪ̯ AK s t
imma	aː AE m ə AD
inamorata	ɪ AD n æ AD m ə AD ɹ AN ɑː AE ɾ ə AD
incidental	ɪ AD n s ɪ AD d ɛ AD ɾ̃ ə AD l
indical	ɪ AD n d ɪ AD k l̩
inexorably	ɪ AD n ɛ AD ɡ z ə AD ɹ AN ə AD b l i AD
inference	ɪ AD ɱ f ɹ AN ə AD n s
inferrible	ɪ AD n f ə AD ɹ AN ɪ AD b l̩
inhalation	ɪ AD n ɦ AA ə AD l e AD ɪ AD ʃ n̩
insolvency	ɪ AD n s ɒ AF l v n̩ s i AD
installation	ɪ AD n s t ə AD l e AD ɪ AD ʃ ə AD n
insufferable	ɪ AD n s ʌ AD f ɹ AN ə AD b l̩
interloper	ɪ AD n t ə AD l ə AD ʊ̯ AL p ə AD
international	ɪ AD n t ə AD n æ AD ʃ ə AD n ə AD ɫ
investigate	ɪ AD n v e AD s t ɪ AD ɡ e AD ɪ̯ AK t
ipa	a AD ɪ AD pʰ iː AE e AD ɪ AD
ireland	ʌ AD ɪ AD ɚ BC l ə AD n d
it	ɪ̈ AD t
item	a AD ɪ̯ AK ɾ ə AD m
ith	a AD ɪ̯ AK θ
jar	d ʒ ɑː AE ɹ AN
jump	d ʒ ʌ AD m p
jury	d ʒ ʊ AF ə AD ɹ̠ i AD
k	kʰ e AD ɪ AD
kana	kʰ ɑː AE n ə AD
karma	k ə AD ɾ m ə AD
kash	k a AD ʃ
katy	kʰ e AD ɪ̯ AK ɾ i AD
kebnekaise	k ɛ AD b n ə AD k a AD i AD s ə AD
keloid	k iː AE l ɔ AF ɪ AD d
kettle	kʰ ɛ AD t ɫ̩
key	kʲʰ iː AE
kibosh	k a AD ɪ AD b o AF ʃ
kick	kʰ ɪ AD k
killer	kʰ ɪ AD l ə AD ɹ AN
kiss	kʰ ɪ AD s
knoll	n ə AD ʊ AF l
koizumi	kʰ ɔ AF i̯ AK z u AF m i AD
korea	kʰ ɵ AF ɹ AN iː AE ə AD
l	ɫ
la	ɛ AD ɫ l e AD j AB
lambrusco	l æ AD m b ɹ AN ʊ AF s k ə AD ʊ AF
lander	l æ AD n d ə AD
language	l e AD ɪ AD ŋ ɡ w AC ɪ AD d ʒ
largely	l ɑː AE d ʒ l i AD
latter	l æ AD ɾ ɚ BC
laundry	l ɑ AD n d ɹ AN i AD
learner	l ɚ BC n ɚ BC
leeway	l iː AE w AC e AD ɪ AD
li'l	l ɪ AD ɫ̩
liable	l a AD ɪ̯ AK ə AD b ɫ̩
libre	l i AD b ʁ
listen	l ɪ AD s n̩
little	l ɪ AD tʰ ɫ̩
luck	l ɐ AF k
lulls	ɫ ʌ AD ɫ z
lunch	l ʌ̃ AJ n t ʃ
lycra	l a AD ɪ AD k ɹ AN ə AD
madder	m a AD d ə AD ɹ AN
madhab	m æ AD ð h AA æ AD b
mail	m e AD ɪ̯ AK ɫ
make	m e AD ɪ AD kʲ
malinois	m æ AD l ɪ AD n w AC ɑː AE
mamaliga	m ə AD m ə AD l i AD ɡ ə AD
mash	m a AD ʃ
mawky	m ɔː AG k i AD
maybe	m e AD ɪ̯ AK b i AD
medal	m ɛ AD ɾ ɫ̩
meese	m iː AE s
merveilleuse	m ɛ AD ʁ v ɛ AD j AB ø AF z
merveilleux	m ɛ AD ʁ v ɛ AD j AB ø AF
metal	m ɛ AD ɾ ɫ̩
methoxphenidine	m ɛː AE θ ɑ AD k s f ɛː AE n ɨ AD ɾ ĩː n
mhm	m̩ m̥ m̩
mi'kmaq	m ɪ AD ɡ ə AD m ɒ AF q
michael	m ɐ AF ɪ AD kʰ ɫ̩
michigander	m ɪ AD ʃ ə AD ɡ æ AD n d ɚ BC
middle	m ɪ AD d ʊ AF
middleman	m ɪ AD d ɫ̩ m æ AD n
midst	m ɪ AD t s t
mikey	m ɐ AF ɪ AD kʰ iː AE
mile	m a AD ɪ̯ AK ɫ
milkshake	m ɪ AD ɫ k ʃ e AD ɪ AD k
mill	m ɪ AD ɫ
mister	m ɪ AD s t ə AD ɹ AN
mmm	m̩
molasses	m ə AD l æ AD s ɪ AD z
money	m ɐ AF n i AD
month	m ɐ AF n̪ θ
mother	m ɐ AF ð ə AD ɹ AN
motlopi	m ə AD ʊ AF t̚ l ə AD ʊ AF p i AD
muddy	m ʌ AD d i AD
multiplayer	m ɐ AF ɫ t i AD p l e AD ɪ̯ AK ə AD ɹ AN
multiplier	m ʌ AD ɫ t ɪ AD p l a AD ɪ AD ɚ BC
murr	m ɚ BC
mustard	m ʌ AD s t ɚ BC d
musty	m ʌ AD s t ɪ AD
myrrh	m ɚ BC
nah	n ɑː AE
nail	n e AD ɪ̯ AK ɫ
nares	n ɛ AD ə AD ɹ AN i AD z
narration	n ə AD ɹ AN e AD ɪ AD ʃ n̩
nauruan	n ɑː AE uː AG ɹ AN uː AG n̩
need	n ɪ AD i̯ AK d
newcastle	n j AB ʉ AF kʰ ɑː AE s ɫ̩
ng	ŋ
niggard	n ɪ AD ɡ ə AD d
niggered	n ɪ AD ɡ ə AD d
nighttime	n a AD ɪ AD ʔ t a AD ɪ AD m
nine	n a AD ɪ̯ AK n
niort	n j AB ɔ AF ɹ AN
nippon	n ɪ AD p ɒ AF n
nizz	n ɪ AD z
nonce	n ɒ AF n t s
nope	n o AF ʊ AF p̚
nut	n ɐ AF t
obnubilation	ɒ AF b n j AB uː AG b ɪ AD l e AD ɪ AD ʃ n̩
oftentime	ɒ AF f t n̩ t a AD ɪ AD m
oil	ɔ AF ɪ AD ɫ
ointment	ɔ̃ BA ɪ̃ AJ n ʔ m ɪ̃ AJ n ʔ
one	w AC ɐ AF n
oni	o AF ʊ AF n iː AE
otaku	ə AD ʊ̯ AL tʰ ɑː AE kʰ uː AG
other	ɐ AF ð ə AD ɹ AN
our	ɑ AD ˞
pack	pʰ æ AD k
package	pʰ a AD k ɛ AD d ʒ
paddle	pʰ æ AD ɾ ɫ̩
paddy	pʰ æ AD ɾ i AD
padre	pʰ ɑ AD d ɹ AN e AD ɪ̯ AK
pah	pʼ aʰ
pail	pʰ e AD ɪ̯ AK ɫ
pale	pʰ e AD ɪ̯ AK ɫ
pantry	p a AD nʰ ɹ̥ AN i AD
parcel	pʰ ɑː AE s ə AD ɫ
park	p ɒ AF ə AD k
parole	p ə AD ɹ AN ə AD ʊ AF ɫ
parse	pʰ ɑː AE z
pass	pʰ ɛ AD ə AD s
pat	pʰ æˀ t̚
path	pʰ ɛ AD ə AD θ
patrick	pʰ æ AD t̠ ɹ̠̊ʷ ɪ AD k̚
pattern	p a AD ʔ ə AD n
patting	pʰ æ AD ɾ ɪ AD ŋ
pattings	pʰ æ AD ɾ ɪ AD ŋ z
pay	pʰ e AD ɪ AD
pear	pʰ e AD ə AD
pearl	pʰ əː AE ɫ
pearls	pʰ əː AE ɫ z
peculiar	pʰ ə̥ AD kʰ j̊ AB uː AG l j AB ʊ AF ə AD
peel	pʰ iː AE ɫ
peg	pʰ ɛ AD ɡ
penchant	p ɑ̃ AJ ʃ ɑ̃ AJ
penes	pʰ iː AE n iː AE z
penis	pʰ iː AE n ɪ AD s
percuss	p ə AD kʰ ʌ AD s
performance	p ɚ BC f ɔ AF ɹ AN m ə AD n s
person	pʰ ɜː AE s n̩
pet	pʰ ɛ AD ʔ t
petting	pʰ ɛ AD ɾ ɪ AD ŋ
phew	ɸ j AB u̥ AF
philadelphia	f ɪ AD ɫ ə AD d ɜ AD ɫ f i AD ə AD
phlebolith	f l ɛ AD b ə AD l ɪ AD θ
photo	f ə AD ʊ AF tʰ ə AD ʊ AF
photograph	f ə AD ʊ AF tʰ ə̥ AD ɡ ɹ̠ ɑː AE f
photosynthesis	f ə AD ʊ AF tʰ ə AD ʊ AF s ɪ AD n̪ θ ə AD s ɪ AD s
pick	pʰ ɪ AD k
piling	pʰ a AD ɪ̯ AK ɫ l ɪ AD ŋ
pill	pʰ ɪ AD ɫ
pin	pʰ ɪ AD n
pit	pʰ ɪ AD ʔ t
pittance	pʰ ɪ AD ʔ n̩ s
place	pʰ l̥ e AD ɪ AD s
plack	pʰ l̥ æ AD k
plague	pʰ l̥ e AD ɪ AD ɡ
plain	pʰ l̥ e AD ɪ AD n
plan	pʰ l̥ æ AD n
plane	pʰ l̥ e AD ɪ AD n
plant	pʰ l̥ ɑː AE n t
plate	pʰ l̥ e AD ɪ AD t
play	p l̥ e AD ɪ AD
please	p l̥ ɪ AD i AD z
poem	pʰ ə AD ʊ̯ AL ɪ AD m
poetry	p ə AD ʊʷ ə AD t ɹ AN ɪ AD
poilu	p w AC ɑː AE l uː AG
polar	pʰ ə AD ʊ̯ AL l ə AD ɹ AN
pole	pʰ o AF ʊ̯ AL ɫ
police	p ə AD l iː AE s
pool	pʰ u AF ɫ
postal	p ə AD ʊ AF s t l̩
potato	p ə̥ AD tʰ e AD ɪ AD tʰ ə AD ʊ AF
pressure	p ɹ AN ɛ AD ʃ ɚ BC
pretzel	pʰ ɹ AN ɛ AD ʔ t s ɫ̩
prick	pʰ ɹ̠̊ ɪ AD k
pride	p ɹ̥ʷ a AD ɪ AD d
priest	p ɹ̥ AN iː AE s t
prim	pʰ ɹ̠̊ ɪ AD m
prism	pʰ ɹ̠̊ ɪ AD z m̩
prison	pʰ ɹ̠̊ ɪ AD z n̩
processors	p ɹ AN ə AD ʊ AF s ɛ AD s ə AD z
pronunciation	pʰ ɹ AN ə AD n ʌ AD n s i AD e AD ɪ AD ʃ ə AD n
propaganda	p ɹ AN ɒ AF p ə AD ɡ æ AD n d ə AD
pulchritude	pʰ ʌ AD ɫ k ɹ AN ə AD t j AB uː AG d
puppy	pʰ ɐ AF p i AD
purl	pʰ əː AE ɫ
purls	pʰ əː AE ɫ z
push	pʷ ʊ AF ʃ
put	pʰ ʊ AF ʔ t
putt	pʰ ɐ AF t
putting	pʰ ʌ AD t ɪ AD ŋ
quaint	kʰ w AC e AD ɪ̯ AK n t
queen	kʷ w AC iː AE n
quesadilla	kʰ e AD ɪ̯ AK s ə AD d iː AE l j AB ə AD
quick	k w̥ AC ɪ AD k
quid	kʰ w̥ AC ɪ AD d
quiff	kʰ w̥ AC ɪ AD f
quill	kʰ w̥ AC ɪ AD l
quilt	kʰ w̥ AC ɪ AD l t
quin	kʰ w̥ AC ɪ AD n
quinn	kʰ w̥ AC ɪ AD n
quint	kʰ w̥ AC ɪ AD n t
quip	kʰ w̥ AC ɪ AD p
quit	kʰ w̥ AC ɪ AD t
quiz	kʰ w̥ AC ɪ AD z
rail	ɹ AN e AD ɪ AD ɫ
rajgira	ɾ ɑː AE d ʒ ɡ i AD r ɑː AE
rambo	ɹ AN æ AD m b ə AD ʊ AF
reading	ɹ AN iː AE ɾ ɪ AD ŋ
reconnoiter	ɹʷ ɛ AD k ə AD n ɔ AF ɪ̯ AK tʰ ə AD
reconnoitre	ɹʷ ɛ AD k ə AD n ɔ AF ɪ̯ AK tʰ ə AD
rehearse	ɹ AN ɪ AD h AA ɜː AE s
relative	ɹ AN ɛ AD l ə AD ɾ ɪ AD v
relatively	ɹ AN ɛ AD l ə AD ɾ ɪ AD v l i AD
relinquish	ɹ AN ɪ AD l ɪ AD ŋ k w AC ɪ AD ʃ
remote	ɹ AN ɪ AD m ə AD ʊ AF t
republic	ɹ AN ɪ AD p ʌ AD b l ɪ AD k
reticent	ɹ AN ɛ AD d ə AD s ə AD n t
revelry	ɹ AN ɛ AD v ə AD ɫ ɹ AN i AD
reëvoke	ɹ AN iː AE ʔ i AD v ə AD ʊ AF k
rider	ɹ̠ a AD ɪ AD d ə AD
rocks	ɹʷ ɔ AF k s
rocky	ɹʷ ɒ AF k iː AE
rose	ɹ̠ʷ ə AD ʊ AF z̥
rub	ɹ AN ɐ AF b
rubbed	ɹ AN ʌˑ b̚ d̥
rubber	ɹ AN ɐ AF b ə AD ɹ AN
rubbers	ɹ AN ɐ AF b ə AD z
ruby	ɹ AN uː AG b i AD
rule	ɹ AN uː AG ɫ
saddle	s æ AD d l̩
sail	s e AD ɪ̯ AK ɫ
salami	s ə AD l ɑː AE m ɪ AD
sang	s ɛ AD ŋ
scale	s k e AD ɪ̯ AK ɫ
scallion	s k æ AD l ɪ AD ə AD n
schemes	s k iː AE m z̥
scold	s k ɒ AF ʊ AF ɫ d
screech	s k ɹ AN iː AE t ʃ
scuttle	s k ʌ AD t ɫ̩
senpai	s ɛ AD n p a AD ɪ̯ AK
sentence	s ɛ AD n ʔ n̩ t s
servo	s ɜː AE v ə AD ʊ AF
shi	ʃ a AD ɪ AD
shouldn't	ʃ ʊ AF n ʔ
siberia	s a AD ɪ AD b ɪ AD ə AD ɹ AN ɪ AD ə AD
siberian	s a AD ɪ AD b ɪ AD ə AD ɹ AN ɪ AD ə AD n
sigmatism	s ɪ AD ɡ m ʌ AD t ɪ AD z m
sixth	s ɪ AD k s θ
skillful	s k ɪ AD ɫ f ə AD ɫ
skrrt	s k r̩ ʔ
skweee	s k w AC iː AE
slaten	s l e AD ɪ AD t n̩
snares	s n ɛː AE z
snash	s n a AD ʃ
snow	s n ə AD ʊ̯ AL
soil	s ɔ AF ɪ̯ AK ɫ
solvent	s ɒ AF l v ə AD n t
some	s ɐ AF m
something	s ɐ AF m θ ɪ AD ŋ
somnambulist	s ɒ AF m n æ AD m b j AB ʊ AF l ɪ AD s t
somnambulistic	s ɒ AF m n æ AD m b j AB ʊ AF l ɪ AD s t ɪ AD k
sophisticate	s ə AD f ɪ AD s t ɪ AD k ə AD t
sorta	s ɔː AG t ə AD
sotto	s o AF tː o AF
splash	s p l a AD ʃ
squamation	s k w AC e AD ɪ AD m e AD ɪ AD ʃ n̩
squander	s k w AC ɒ AF n d ə AD
squee	s k w AC iː AE
standardise	s t æ AD n d ə AD ɹ AN d a AD ɪ AD z
steel	s t iː AE ɫ
stirk	s t ɜː AE k
stope	s t o AF ʊ AF p
strength	s t̠ ɹ̠ ɪ AD ŋ k θ
strident	s t ɹ AN a AD ɪ AD dˀ n t
stripboard	s t ɹ AN ɪʰ b ɔː AG d
strong	ʃ t̠ ɹ̠ ɒ AF ŋ
structure	s t ɹ AN ɐ AF k t ʃ ə AD ɹ AN
struggle	s t ɹ AN ʌ AD ɡ l̩
strut	s t ɹ AN ɐ AF t
subhuman	s ʌ AD b h AA j AB uː AG m ə AD n
substituent	s ʌ AD b s t ɪ AD t ʃ u AF ə AD n t
subtle	s ʌ AD ɾ ɫ̩
subway	s ʌ AD b w AC e AD ɪ̯ AK
sudden	s ʌ AD d n̩
suggestion	s ə AD d ʒ ɛ AD ʃ t ʃ ə AD n
support	s ə AD pʰ ɔː AG t
suppose	s ə AD pʰ ə AD ʊ AF z
syllable	s ɪ AD l ə AD b ɫ
symbology	s ɪ AD m b ɒ AF l ə AD d ʒ i AD
symphony	s ɪ AD ɱ f ə AD n i AD
syndical	s ɪ AD n d ɪ AD k l̩
syntagms	s ɪ AD n t æ AD m z
t'	ː
tab	tʰ æ AD b̥
tackle	tʰ æ AD k ɫ̩
take	tʰ e AD ɪ̯ AK k
talib	tʰ æ AD l ɪ AD b
talked	tʰ ɔː AG k t
tallit	tʰ ɑ AD ɫ ɪ AD s
tampon	tʰ æ AD m p ɒ AF n
tap	tʰ æ AD p
tape	tʰ e AD ɪ̯ AK p
tapestry	t æ AD p ə AD s t ʃ ɹ AN i AD
taring	t ɛ AD ə AD ɹ AN ɪ AD ŋ
tarter	t ɑː AE t ə AD ɹ AN
tattoo	tʰ æ AD tʰ u̟ː AG
tea	tʰ iː AE
teal	t iː AE ɫ
teared	t ɪː AE d
tearing	t ɪ AD ə AD ɹ AN ɪ AD ŋ
tech	tʰ ɛ AD k
tej	t ɛ AD d ʒ
telangana	t̪ ɛ AD l ə AD ŋ ɡ ɑː AE n ə AD
ten	tʰ ɛ AD n
tenth	tʰ ɛ AD n̪ θ
thagomizer	θ æ AD ɡ ə AD m a AD ɪ AD z ə AD
thank	θ a AD ŋ k
theosophy	θ ɪ AD ɒ AF s ə AD f ɪ AD
theriac	θ ɛ AD ɹ AN i AD ə AD k
thickie	θ ɪ AD k i AD
thousand	θ a AD ʊ AF z n̩ d
thread	θ ɾ̪̊ ɛ AD d
three	θ ɾ̪̊ ɪ AD i AD
thrice	θ ɾ̪̊ ɑ AD ɪ AD s
thrill	θ ɾ̪̊ ɪ AD ɫ
throne	θ ɹ AN ə AD ʊ AF n
through	θ ɾ̪̊ ɵ AF ʉ AF
throughout	θ ɹ AN uːʷ a AD ʊ AF t
throw	θ ɾ̪̊ ə AD ʊ AF
timber	t ɪˑ m b əː AE
time	tʰ a AD ɪ AD m
tin	tʰ ɪ AD n
tiptoe	tʰ ɪ AD p tʰ ə AD ʊ̯ AL
titty	tʰ ɪ AD ɾ i AD
to	tʰ u̟ː AG
tomato	tʰ ə̥ AD m ɑː AE tʰ ə AD ʊ AF
too	tʰ u̟ː AG
top	tʰ ɒˀ p
toronto	tʰ ə AD ɹ AN ɒ AF ɾ̃ ə AD
towards	tʰ ə̥ AD w AC ɔː AG d z
town	tʰ a AD ʊ̯ AL n
trace	t ʃ ɹ AN e AD ɪ AD s
tracer	t ʃ ɹ AN e AD ɪ AD s ə AD ɹ AN
traditionally	t ɹ AN ɪ AD d ɪ AD ʃ n̩ l i AD
train	t̠ ɹ̠̝ʷ e AD ɪ AD n
trainee	t ʃ ɹ AN e AD ɪ AD n i AD
trainees	t ʃ ɹ AN e AD ɪ AD n i AD z
transcaucasia	t ɹ AN æ AD n s k ɔː AG k e AD ɪ AD ʒ ə AD
trap	t̠ ɹ̝̊ ä p
tree	t̠ ɹ̠̊ʷ ɪ AD i̯ AK
trick	t̠ʰ ɹ̠̊ ɪ AD k
trig	t̠ʰ ɹ̠̊ ɪ AD ɡ
trill	t̠ʰ ɹ̠̊ ɪ AD l
trim	t̠ʰ ɹ̠̊ ɪ AD m
trinal	t ɹ AN ʌ AD ɪ AD n̩ l
trip	t̠ʰ ɹ̠̊ ɪ AD p
trope	t ɹ̥ AN ə AD ʊ AF p
trust	t ɹ AN ʌ AD s t
tsk	ǀ
tucker	tʰ ʌ AD k ə AD
turning	t ɚ BC n ɪ AD ŋ
tut	ǀ
twain	tʰ w̥ AC e AD ɪ AD n
twat	tʰ w̥ AC æ AD t
twelfth	tʰ w̥ AC ɛ AD l̪ θ
twelve	t w̥ AC ɛ AD ɫ v
twentieth	t w̥ AC ɛ AD ɾ̃ i AD ə AD θ
twenty	t w̥ AC ɛ̃ AJ n t i AD
twerk	t w̥ AC ɜː AE k
twice	t w̥ AC a AD ɪ AD s
twin	t w̥ AC ɪ AD n
twink	tʰ w̥ AC ɪ AD ŋ k
twist	t w̥ AC ɪ AD s t
twit	tʰ w̥ AC ɪ AD t
twitch	tʰ w̥ AC ɪ AD t ʃ
two	tʰ u̟ː AG
twos	tʰ u̟ː AG z
typewriter	t a AD ɪ AD p ɹ AN a AD ɪ AD t ə AD ɹ AN
ugh	ʌ AD
unacceptable	ɐ AF n ə AD k s ɛ AD p tʰ ə AD b ɫ̩
uncle	ɐ AF ŋ k ɫ̩
under	ɐ AF n d ə AD ɹ AN
unfair	ɐ AF n f ɛː AE ɹ AN
unilateral	j AB ʉː AG n ɪ AD l æ AD t ʃ ɹ AN ɫ̩
unisex	j AB uː AG n ɪ AD s ɛ AD k s
unnerstand	ɜ AD ɽ̃ ɻ s t æ AD n d̚
untac	j AB u AF ɛ AD n t ɪ AD ɛ AD j AB s iː AE
untaet	j AB u AF ɛ AD n t i AD ɛ AD j AB ɪ AD t iː AE
up	ɐ AF ʔ p
usher	ʌ AD ʃ ə AD ɹ AN
utter	ɐ AF t ə AD
vajazzle	v ə AD d ʒ æ AD z l̩
vale	v e AD ɪ AD ɫ
verbal	v ɜː AE b ɫ̩
versatile	v ɜː AE s ə AD t a AD ɪ AD ɫ
veteran	v ɛ AD ɾ ə AD ɹ AN ə AD n
veto	v iː AE ɾ o AF ʊ AF
vicissitude	v ɨ AD s ɪ AD s ɨ AD t j AB uː AG d
vicissity	v ɪ AD s ɪ AD s ɨ AD t i AD
vindical	v ɪ AD n d ɪ AD k l̩
virtually	v ɚ BC t ʃ u AF ə AD ɫ i AD
vlach	v l ɑː AE k
vocab	v ə AD ʊ AF k æ AD b
wail	w AC e AD ɪ AD ɫ
waistband	w AC e AD ɪ AD s t b æ AD n d
waiting	w AC e AD ɪ̯ AK ɾ ɪ AD ŋ
wale	w AC e AD ɪ AD ɫ
wales	w AC e AD ɪ AD ɫ z
wanted	w AC ɒ AF n tʰ ɪ AD d
wasn't	w AC ɒ AF z n̩ ʔ
wealth	w AC ɛ AD l̪ θ
wean	w AC eː AE n
weeaboos	w AC iː AE a AD b yː AG z
welp	w AC ɛ AD l p̚
westside	w AC ɛ AD s t s a AD ɪ AD d
whew	ʍ AM ĭ̥ ŭ̥
whole	h AA ə AD ʊ AF ɫ
wholemeal	h AA ɔ AF ʊ AF ɫ m i AD ə AD ɫ
wholly	h AA ə AD ʊ AF l ɪ AD
width	w AC ɪ AD d̪ θ
wieldy	w AC ɪ AD ə AD l d ɪ AD
wilde	w AC a AD ɪ AD ə̯ AK ɫ d
will	w AC ɪ AD ɫ
winter	w AC ɪ AD ɾ̃ ɚ BC
wisconsin	w AC ə AD s kʰ ɑ AD n s n̩
wouldn't	w AC ʊ AF ɾ ə AD n t
wrake	ɹ AN e AD ɪ̯ AK kʰ
writer	ɹ̠ a AD ɪ AD tʰ ə AD
www	d ʌ AD ɥ AC ʊ̆ BB d ʌ AD ɥ AC ʊ̆ BB d ʌ AD bˡ j AB u AF
xxx	ʔ ɛ AD k s ʔ ɛ AD k s ʔ ɛ AD k s
yatt	j AB æ AD t
yep	j AB ɛ AD p̚
yive	j AB ɪ AD v
yolngu	j AB oː AG l ŋ ʊ AF
yum	j AB ʌ AD m
zarina	z ʌ AD ɹʲ i AD n ə AD
zemfira	z ɪ AD ɱ f i AD ɹ AN ə AD
ziti	z i AD ɾ i AD
zooplasty	z ə AD ʊ AF ə AD p l æ AD s t i AD
zun	z ʌ AD n
übermensch	ʔ yː AG b ɐ AF m ɛ AD n ʃ
