'y	ɪ AD
aba	ʔ ɐ AF b a AD ʔ
abalos	ʔ ɐ AF b ɐ AF l o AF s
abandonado	ʔ ɐ AF b ɐ AF n d o AF n ɐ AF d o AF
abaniko	ʔ ɐ AF b ɐ AF n ɪ AD x o AF
abejuela	ʔ ɐ AF b ɛ AD d ʒ ʊ AF ɛ AD l ɐ AF
abelgas	ʔ ɐ AF b ɛ AD l ɡ ɐ AF s
abellera	ʔ ɐ AF b ɛ AD l l ɛ AD ɾ ɐ AF
abing	ʔ ɐ AF b ɪ AD ŋ
abisuhan	ʔ ɐ AF b ɪ AD s ʊ AF h AA ɐ AF n
abo	ʔ ɐ AF b o AF
abrazado	ʔ ɐ AF b ɾ ɐ AF s ɐ AF d o AF
abrenica	ʔ ɐ AF b ɾ ɛ AD n ɪ AD x ɐ AF
abueg	ʔ ɐ AF b w AC ɛ AD ɡ
abulencia	ʔ ɐ AF b ʊ AF l ɛ AD n ʃ ɐ AF
abusado	ʔ ɐ AF b ʊ AF s ɐ AF d o AF
abyad	ʔ ɐ AF b j AB ɐ AF d
abyador	ʔ ɐ AF b j AB ɐ AF d o AF ɾ
acierto	ʔ ɐ AF ʃ ɛ AD ɾ t o AF
acorda	ʔ ɐ AF x o AF ɾ d ɐ AF
acuzar	ʔ ɐ AF x ʊ AF s ɐ AF ɾ
adajar	ʔ ɐ AF d ɐ AF d ʒ ɐ AF ɾ
adik	ʔ a AD d ɪ AD k
adlawan	ʔ ɐ AF d l ɐ AF w AC ɐ AF n
adres	ʔ ɐ AF d ɾ ɛ AD s
adrias	ʔ ɐ AF d ɾ ɪ AD ɐ AF s
agapay	ʔ ɐ AF ɰ AB ɐ AF p a AD ɪ̯ AG
agila	ʔ a AD ɰ AB ɪ AD l ɐ AF
agiw	ʔ a AD ɰ AB ɪ AD ʊ̯ AH
agrabyado	ʔ ɐ AF ɡ ɾ ɐ AF b j AB a AD d o AF
aguas	ʔ ɐ AF ɰ AB ʊ AF ɐ AF s
aguda	ʔ ɐ AF ɰ AB ʊ AF d ɐ AF
aguilera	ʔ ɐ AF ɰ AB ɪ AD l ɛ AD ɾ ɐ AF
aguirre	ʔ ɐ AF ɰ AB ɪ AD ɾ ɛ AD
agustin	ʔ ɐ AF ɰ AB ʊ AF s t ɪ AD n
agwat	ʔ ɐ AF ɡ w AC ɐ AF t
aksayado	ʔ ɐ AF k s ɐ AF j AB a AD d o AF
alambre	ʔ ɐ AF l a AD m b ɾ ɛ AD
alcaide	ʔ ɐ AF l k a AD ɪ̯ AG d ɛ AD
aldover	ʔ ɐ AF l d o AF b ɛ AD ɾ
alegre	ʔ ɐ AF l ɛ AD ɡ ɾ ɛ AD
alila	ʔ ɐ AF l i AD l ɐ AF ʔ
alimasag	ʔ ɐ AF l ɪ AD m a AD s ɐ AF ɡ
alipin	ʔ ɐ AF l ɪ AD p ɪ AD n
alis	ʔ a AD l ɪ AD s
alkansya	a AD l k a AD n ɕ a AD
almaden	ʔ ɐ AF l m ɐ AF d ɛ AD n
almarez	ʔ ɐ AF l m ɐ AF ɾ ɛ AD s
almario	ʔ ɐ AF l m ɐ AF ɾ ɪ AD o AF
almendrala	ʔ ɐ AF l m ɛ AD n d ɾ ɐ AF l ɐ AF
almirol	ʔ ɐ AF l m ɪ AD ɾ o AF l
alonte	ʔ ɐ AF l o AF n t ɛ AD
alonto	ʔ ɐ AF l o AF n t o AF
alperes	ʔ ɐ AF l p ɛ AD ɾ ɛ AD s
altapresyon	ʔ ɐ AF l t ɐ AF p ɾ ɛ AD ʃ o AF n
alviar	ʔ ɐ AF l b j AB ɐ AF ɾ
amante	ʔ ɐ AF m ɐ AF n t ɛ AD
ambag	ʔ ɐ AF m b a AD ɡ
amerikana	ʔ ɐ AF m ɛ AD ɾ ɪ AD x a AD n ɐ AF
amin	ʔ a AD m ɪ AD n
aminado	ʔ ɐ AF m ɪ AD n ɐ AF d o AF
amon	ʔ ɐ AF m o AF n
amoranto	ʔ ɐ AF m o AF ɾ ɐ AF n t o AF
ampaw	ʔ ɐ AF m p a AD ʊ̯ AH
amurao	ʔ ɐ AF m ʊ AF ɾ a AD ʊ̯ AH
analisis	ʔ ɐ AF n ɐ AF l i AD s ɪ AD s
anatomiya	ʔ ɐ AF n ɐ AF t o AF m i AD ɐ AF
anay	ʔ a AD n a AD ɪ̯ AG
anayin	ʔ ɐ AF n ɐ AF j AB ɪ AD n
andal	ʔ ɐ AF n d ɐ AF l
anggo	ʔ ɐ AF ŋ ɡ o AF
anghel	ʔ ɐ AF ŋ h AA ɛ AD l
angkla	ʔ ɐ AF ŋ k l ɐ AF
ango	ʔ ɐ AF ŋ o AF
angot	ʔ ɐ AF ŋ o AF t
anim	ʔ a AD n ɪ AD m
anis	ʔ ɐ AF n i AD s
antipona	ʔ ɐ AF n t i AD p o AF n ɐ AF
antok	ʔ ɐ AF n t o AF k
antukin	ʔ ɐ AF n t ʊ AF x ɪ AD n
anyayahan	ʔ ɐ AF ɲ ɐ AF j AB ɐ AF h AA ɐ AF n
apela	ʔ ɐ AF p ɛ AD l a AD
apilado	ʔ ɐ AF p ɪ AD l ɐ AF d o AF
apostasiya	ʔ ɐ AF p o AF s t ɐ AF s ɪ AD ɐ AF
aranda	ʔ ɐ AF ɾ ɐ AF n d ɐ AF
aray	ʔ ɐ AF ɾ a AD ɪ̯ AG
arañas	ʔ ɐ AF ɾ ɐ AF ɲ ɐ AF s
arce	ʔ ɐ AF ɾ s ɛ AD
arcega	ʔ ɐ AF ɾ s ɛ AD ɰ AB ɐ AF
arceo	ʔ ɐ AF ɾ s ɛ AD o AF
arcilla	ʔ ɐ AF ɾ s ɪ AD l l ɐ AF
arcillas	ʔ ɐ AF ɾ s ɪ AD l l ɐ AF s
arcinas	ʔ ɐ AF ɾ s ɪ AD n ɐ AF s
arenas	ʔ ɐ AF ɾ ɛ AD n ɐ AF s
arevalo	ʔ ɐ AF ɾ ɛ AD b ɐ AF l o AF
argente	ʔ ɐ AF ɾ ɡ ɛ AD n t ɛ AD
arkila	ʔ ɐ AF ɾ k ɪ AD l a AD
arquiza	ʔ ɐ AF ɾ k ɪ AD s ɐ AF
arriola	ʔ ɐ AF ɾ ɪ AD o AF l ɐ AF
arrogante	ʔ ɐ AF ɾ o AF ɰ AB ɐ AF n t ɛ AD
artiaga	ʔ ɐ AF ɾ t ʃ ɐ AF ɰ AB ɐ AF
arzadon	ʔ ɐ AF ɾ s ɐ AF d o AF n
asilo	ʔ ɐ AF s ɪ AD l o AF
asinta	ʔ ɐ AF s ɪ AD n t a AD
asul	ʔ ɐ AF s ʊ AF l
asungot	ʔ ɐ AF s u AF ŋ o AF t
at	ʔ ɐ AF t
ataul	ʔ ɐ AF t ɐ AF ʔ u AF l
atendido	ʔ ɐ AF t ɛ AD n d ɪ AD d o AF
avanceña	ʔ ɐ AF b ɐ AF n s ɛ AD ɲ ɐ AF
avendaño	ʔ ɐ AF b ɛ AD n d ɐ AF ɲ o AF
awat	ʔ a AD w AC ɐ AF t
ay	ʔ a AD ɪ̯ AG
ayson	ʔ a AD ɪ̯ AG s o AF n
azaña	ʔ ɐ AF s ɐ AF ɲ ɐ AF
azucena	ʔ ɐ AF s ʊ AF s ɛ AD n ɐ AF
babae	b ɐ AF b a AD ʔ ɛ AD
babaero	b ɐ AF b ɐ AF ʔ ɛ AD ɾ o AF
babaihin	b ɐ AF b a AD ɪ̯ AG h AA ɪ AD n
babao	b ɐ AF b a AD ʊ̯ AH
babasa	b ɐ AF b ɐ AF s ɐ AF
babasagin	b ɐ AF b ɐ AF s ɐ AF ɰ AB ɪ AD n
babasahin	b ɐ AF b ɐ AF s ɐ AF h AA ɪ AD n
bacani	b ɐ AF x ɐ AF n ɪ AD
baclig	b ɐ AF k l ɪ AD ɡ
bacsa	b ɐ AF k s ɐ AF
bactol	b ɐ AF k t o AF l
baculi	b ɐ AF x ʊ AF l ɪ AD
badayos	b ɐ AF d ɐ AF j AB o AF s
bagaman	b ɐ AF ɰ AB ɐ AF m a AD n
bagamat	b ɐ AF ɰ AB ɐ AF m a AD t
bagang	b ɐ AF ɰ AB a AD ŋ
bagaoisan	b ɐ AF ɰ AB ɐ AF w AC ɪ AD s ɐ AF n
baging	b a AD ɰ AB ɪ AD ŋ
bagon	b ɐ AF ɰ AB o AF n
bagsik	b ɐ AF ɡ s i AD k
bagsit	b ɐ AF ɡ s ɪ AD t
bahaghari	b ɐ AF h AA ɐ AF ɡ h AA a AD ɾ ɪ AD ʔ
bahing	b ɐ AF h AA i AD ŋ
baka	b ɐ AF x ɐ AF
bakahan	b ɐ AF x ɐ AF h AA a AD n
bakas	b ɐ AF x a AD s
baklad	b ɐ AF k l a AD d
bakulaw	b ɐ AF x u AF l a AD ʊ̯ AH
bakuna	b ɐ AF x ʊ AF n ɐ AF
bakunahan	b ɐ AF x ʊ AF n ɐ AF h AA ɐ AF n
bakuran	b ɐ AF x ʊ AF ɾ ɐ AF n
balae	b ɐ AF l ɐ AF ʔ ɛ AD
balaguer	b ɐ AF l ɐ AF ɰ AB ɛ AD ɾ
balahibo	b ɐ AF l ɐ AF h AA i AD b o AF
balakubak	b ɐ AF l ɐ AF x u AF b ɐ AF k
balasa	b ɐ AF l a AD s ɐ AF
balasabas	b ɐ AF l ɐ AF s ɐ AF b ɐ AF s
balato	b ɐ AF l a AD t o AF
balatong	b ɐ AF l a AD t o AF ŋ
balbas	b ɐ AF l b a AD s
baldonado	b ɐ AF l d o AF n ɐ AF d o AF
baligtad	b ɐ AF l ɪ AD ɡ t a AD d
balingit	b ɐ AF l ɪ AD ŋ ɪ AD t
balisacan	b ɐ AF l ɪ AD s ɐ AF x ɐ AF n
balite	b ɐ AF l ɪ AD t ɛ AD
balon	b ɐ AF l o AF n
baluga	b ɐ AF l ʊ AF ɰ AB ɐ AF ʔ
baluktot	b ɐ AF l ʊ AF k t o AF t
balwarte	b ɐ AF l w AC a AD ɾ t ɛ AD
banawa	b ɐ AF n ɐ AF w AC ɐ AF
bandila	b ɐ AF n d i AD l ɐ AF ʔ
bangaw	b a AD ŋ a AD ʊ̯ AH
bangkay	b ɐ AF ŋ k a AD ɪ̯ AG
bangkiling	b ɐ AF ŋ k ɪ AD l i AD ŋ
bango	b ɐ AF ŋ o AF
baniaga	b ɐ AF ɲ ɐ AF ɰ AB ɐ AF
banig	b ɐ AF n i AD ɡ
banlaw	b ɐ AF n l a AD ʊ̯ AH
banta	b ɐ AF n t a AD ʔ
bantay	b ɐ AF n t a AD ɪ̯ AG
bantog	b ɐ AF n t o AF ɡ
banyaga	b ɐ AF ɲ a AD ɰ AB ɐ AF ʔ
baog	b ɐ AF ʔ o AF ɡ
baon	b ɐ AF ʔ o AF n
baquiran	b ɐ AF x ɪ AD ɾ ɐ AF n
bara	b ɐ AF ɾ a AD
barado	b ɐ AF ɾ ɐ AF d o AF
baraha	b ɐ AF ɾ a AD h AA ɐ AF
barbosa	b ɐ AF ɾ b o AF s ɐ AF
barquilla	b ɐ AF ɾ k ɪ AD l l ɐ AF
barrios	b ɐ AF ɾ j AB o AF s
bartolome	b ɐ AF ɾ t o AF l o AF m ɛ AD
barya	b ɐ AF ɾ j AB a AD
basa	b ɐ AF s ɐ AF
basahan	b ɐ AF s ɐ AF h AA ɐ AF n
basco	b ɐ AF s k o AF
base	b ɐ AF s ɛ AD
basehan	b ɐ AF s ɛ AD h AA a AD n
basilan	b ɐ AF s ɪ AD l ɐ AF n
bastos	b ɐ AF s t o AF s
basurahan	b ɐ AF s ʊ AF ɾ ɐ AF h AA a AD n
basurero	b ɐ AF s ʊ AF ɾ ɛ AD ɾ o AF
batallones	b ɐ AF t ɐ AF l l o AF n ɛ AD s
batalyon	b ɐ AF t ɐ AF l j AB o AF n
batangas	b ɐ AF t ɐ AF ŋ ɡ ɐ AF s
bati	b ɐ AF t i AD ʔ
batugan	b ɐ AF t ʊ AF ɰ AB ɐ AF n
batukan	b ɐ AF t ʊ AF x ɐ AF n
batya	b ɐ AF t ʃ a AD ʔ
baunan	b ɐ AF ʔ ʊ AF n a AD n
bauzon	b a AD ʊ̯ AH s o AF n
bayabas	b ɐ AF j AB ɐ AF b ɐ AF s
bayad	b ɐ AF j AB ɐ AF d
bayawak	b ɐ AF j AB ɐ AF w AC ɐ AF k
baybayin	b a AD i̯ AG b aː AE j AB ɪ AD n
bayong	b ɐ AF j AB o AF ŋ
baywang	b ɛ AD w AC ɐ AF ŋ
bañaga	b ɐ AF ɲ ɐ AF ɰ AB ɐ AF
bejasa	b ɛ AD d ʒ ɐ AF s ɐ AF
belhiko	b ɛ AD l h AA ɪ AD x o AF
beltran	b ɛ AD l t ɾ ɐ AF n
benepisyo	b ɛ AD n ɛ AD p i AD ʃ o AF
benipayo	b ɛ AD n ɪ AD p ɐ AF j AB o AF
bergonia	b ɛ AD ɾ ɡ o AF ɲ ɐ AF
bermudez	b ɛ AD ɾ m ʊ AF d ɛ AD s
bibingka	b ɪ AD b ɪ AD ŋ k ɐ AF
bigat	b ɪ AD ɰ AB a AD t
bigti	b ɪ AD ɡ t i AD ʔ
bihag	b ɪ AD h AA a AD ɡ
bihira	b ɪ AD h AA i AD ɾ ɐ AF ʔ
bihis	b ɪ AD h AA i AD s
biik	b ɪ AD i AD k
bilangguan	b ɪ AD l ɐ AF ŋ ɡ ʊ AF ʔ ɐ AF n
bilao	b ɪ AD l a AD o AF
bilas	b ɪ AD l a AD s
bilot	b ɪ AD l o AF t
bilugan	b ɪ AD l ʊ AF ɰ AB ɐ AF n
binabae	b ɪ AD n ɐ AF b ɐ AF ʔ ɛ AD
binatilyo	b ɪ AD n ɐ AF t ɪ AD l j AB o AF
bingwit	b ɪ AD ŋ w AC i AD t
bintang	b ɪ AD n t a AD ŋ
bintog	b ɪ AD n t o AF ɡ
binuya	b ɪ AD n ʊ AF j AB ɐ AF
bisaya	b ɪ AD s a AD j AB ɐ AF ʔ
biscocho	b ɪ AD s k o AF t ʃ o AF
bisikleta	b ɪ AD s ɪ AD k l ɛ AD t ɐ AF
bisita	b ɪ AD s i AD t ɐ AF
bitay	b i AD t a AD ɪ̯ AG
biyas	b j AB a AD s
biyaya	b j AB a AD j AB ɐ AF ʔ
biyuda	b j AB u AF d ɐ AF
bobadilla	b o AF b ɐ AF d ɪ AD l l ɐ AF
bodega	b o AF d ɛ AD ɰ AB ɐ AF
bolante	b o AF l ɐ AF n t ɛ AD
bolaños	b o AF l ɐ AF ɲ o AF s
boluntaryo	b o AF l ʊ AF n t ɐ AF ɾ j AB o AF
bonifacio	b o AF n ɪ AD f ɐ AF ʃ o AF
bonilla	b o AF n ɪ AD l l ɐ AF
boongaling	b o AF o AF ŋ ɡ ɐ AF l ɪ AD ŋ
borillo	b o AF ɾ ɪ AD l l o AF
borlaza	b o AF ɾ l ɐ AF s ɐ AF
botika	b o AF t ɪ AD x ɐ AF
brillantes	b ɾ ɪ AD l l ɐ AF n t ɛ AD s
bruha	b ɾ u AF h AA ɐ AF
bubog	b ʊ AF b o AF ɡ
bubuli	b ʊ AF b ʊ AF l i AD
budhi	b ʊ AF d h AA i AD ʔ
buenafe	b ʊ AF ɛ AD n ɐ AF p ɛ AD
buga	b ʊ AF ɰ AB a AD
bugarin	b ʊ AF ɰ AB ɐ AF ɾ ɪ AD n
bugaw	b u AF ɰ AB a AD ʊ̯ AH
bugayong	b ʊ AF ɰ AB ɐ AF j AB o AF ŋ
bugtong	b ʊ AF ɡ t o AF ŋ
buhaghag	b ʊ AF h AA a AD ɡ h AA a AD ɡ
buhawi	b ʊ AF h AA a AD w AC ɪ AD ʔ
bukambibig	b ʊ AF x ɐ AF m b ɪ AD b i AD ɡ
bukas	b ʊ AF x a AD s
bukbok	b ʊ AF k b o AF k
buking	b ʊ AF x i AD ŋ
bula	b ʊ AF l a AD ʔ
bulaan	b ʊ AF l ɐ AF ʔ ɐ AF n
bulahaw	b ʊ AF l a AD h AA a AD ʊ̯ AH
bulalakaw	b ʊ AF l ɐ AF l a AD x a AD ʊ̯ AH
bulanadi	b ʊ AF l ɐ AF n ɐ AF d ɪ AD
bulanhagui	b ʊ AF l ɐ AF ŋ h AA ɐ AF ɰ AB ɪ AD
bulati	b ʊ AF l ɐ AF t ɪ AD
bulaw	b u AF l a AD ʊ̯ AH
bulbol	b ʊ AF l b o AF l
bulok	b ʊ AF l o AF k
bulutong	b ʊ AF l u AF t o AF ŋ
bulyaw	b ʊ AF l j AB a AD ʊ̯ AH
bumahing	b ʊ AF m ɐ AF h AA ɪ AD ŋ
bumbunan	b u AF m b ʊ AF n ɐ AF n
bumiyahe	b ʊ AF m j AB a AD h AA ɛ AD
bunag	b ʊ AF n ɐ AF ɡ
bunga	b ʊ AF ŋ ɐ AF
bungkos	b ʊ AF ŋ k o AF s
bungo	b ʊ AF ŋ o AF ʔ
buno	b ʊ AF n o AF ʔ
bunso	b ʊ AF ŋ s o AF ʔ
bunyi	b ʊ AF ɲ ɪ AD
buo	b ʊ AF o AF ʔ
buol	b ʊ AF ʔ o AF l
buquid	b ʊ AF x ɪ AD d
burgis	b ʊ AF ɾ ɡ ɪ AD s
buryong	b ʊ AF ɾ j AB o AF ŋ
buson	b ʊ AF s o AF n
butac	b ʊ AF t ɐ AF k
butaka	b ʊ AF t a AD x ɐ AF
buto	b ʊ AF t ʔ o AF
buwag	b w AC a AD ɡ
buwakaw	b w AC a AD x a AD ʊ̯ AH
buwanan	b ʊ AF ɐ AF n ɐ AF n
buwaya	b w AC ɐ AF j AB ɐ AF
buweltahan	b w AC ɛ AD l t ɐ AF h AA a AD n
buwisit	b w AC i AD s ɪ AD t
cabahug	k x ɐ AF b ɐ AF h AA ʊ AF ɡ
cabanayan	k x ɐ AF b ɐ AF n ɐ AF j AB ɐ AF n
cabanlit	k x ɐ AF b ɐ AF n l ɪ AD t
cabasag	k x ɐ AF b ɐ AF s ɐ AF ɡ
cabiling	k x ɐ AF b ɪ AD l ɪ AD ŋ
cabral	k x ɐ AF b ɾ ɐ AF l
cabuhat	k x ɐ AF b ʊ AF h AA ɐ AF t
cabungcal	k x ɐ AF b ʊ AF ŋ k ɐ AF l
cacdac	k x ɐ AF k d ɐ AF k
cadano	k x ɐ AF d ɐ AF n o AF
cadapan	k x ɐ AF d ɐ AF p ɐ AF n
cadayona	k x ɐ AF d ɐ AF j AB o AF n ɐ AF
cagalingan	k x ɐ AF ɰ AB ɐ AF l ɪ AD ŋ ɐ AF n
caguiat	k x ɐ AF ɡ j AB ɐ AF t
caguioa	k x ɐ AF ɰ AB ɪ AD w AC ɐ AF
calalo	k x ɐ AF l ɐ AF l o AF
calaunan	k x ɐ AF l ɐ AF ʔ ʊ AF n ɐ AF n
calaycay	k x ɐ AF l a AD ɪ̯ AG x a AD ɪ̯ AG
calinawan	k x ɐ AF l ɪ AD n ɐ AF w AC ɐ AF n
calingasan	k x ɐ AF l ɪ AD ŋ ɐ AF s ɐ AF n
calinisan	k x ɐ AF l ɪ AD n ɪ AD s ɐ AF n
calma	k x ɐ AF l m ɐ AF
campo	k x ɐ AF m p o AF
cancio	k x ɐ AF n s ɪ AD o AF
canicosa	k x ɐ AF n ɪ AD x o AF s ɐ AF
canilao	k x ɐ AF n ɪ AD l a AD ʊ̯ AH
cantiveros	k x ɐ AF n t ɪ AD b ɛ AD ɾ o AF s
cantos	k x ɐ AF n t o AF s
caparas	k x ɐ AF p ɐ AF ɾ ɐ AF s
capinpin	k x ɐ AF p ɪ AD n p ɪ AD n
cardiño	k x ɐ AF ɾ d ɪ AD ɲ o AF
cariaso	k x ɐ AF ɾ j AB ɐ AF s o AF
carillo	k x ɐ AF ɾ ɪ AD l l o AF
carrillo	k x ɐ AF ɾ ɾ ɪ AD l l o AF
casal	k x ɐ AF s ɐ AF l
casanova	k x ɐ AF s ɐ AF n o AF b ɐ AF
casao	k x ɐ AF s ɐ AF o AF
caseda	k x ɐ AF s ɛ AD d ɐ AF
castañeda	k x ɐ AF s t ɐ AF ɲ ɛ AD d ɐ AF
castrence	k x ɐ AF s t ɾ ɛ AD n s ɛ AD
catapang	k x ɐ AF t ɐ AF p ɐ AF ŋ
catibog	k x ɐ AF t ɪ AD b o AF ɡ
catimbang	k x ɐ AF t ɪ AD m b ɐ AF ŋ
catipon	k x ɐ AF t ɪ AD p o AF n
catral	k x ɐ AF t ɾ ɐ AF l
cauilan	k x ɐ AF w AC ɪ AD l ɐ AF n
cenizal	s ɛ AD n ɪ AD s ɐ AF l
cerillo	s ɛ AD ɾ ɪ AD l l o AF
ching	t ʃ ɪ AD ŋ
cinco	s ɪ AD ŋ k o AF
closa	k x l o AF s ɐ AF
collado	k x o AF l l ɐ AF d o AF
cometa	k x o AF m ɛ AD t ɐ AF
comia	k x o AF m ɪ AD ɐ AF
condez	k x o AF n d ɛ AD s
coquia	k x o AF x ɪ AD ɐ AF
corcuera	k x o AF ɾ k w AC ɛ AD ɾ ɐ AF
cornejo	k x o AF ɾ n ɛ AD d ʒ o AF
coronel	k x o AF ɾ o AF n ɛ AD l
corrales	k x o AF ɾ ɾ ɐ AF l ɛ AD s
correa	k x o AF ɾ ɾ ɛ AD ɐ AF
corro	k x o AF ɾ ɾ o AF
cosico	k x o AF s ɪ AD x o AF
cruzat	k x ɾ ʊ AF s ɐ AF t
cuasay	k w AC ɐ AF s a AD ɪ̯ AG
cubacub	k x ʊ AF b ɐ AF x ʊ AF b
cuizon	k x ʊ AF ɪ AD s o AF n
custodio	k x ʊ AF s t o AF d ʒ o AF
daan	d ɐ AF ʔ a AD n
dacanay	d ɐ AF x ɐ AF n a AD ɪ̯ AG
dado	d ɐ AF d o AF
daga	d ɐ AF ɰ AB a AD ʔ
dagat	d a AD ɰ AB ɐ AF t
dagta	d ɐ AF ɡ t a AD ʔ
dahas	d ɐ AF h AA a AD s
dahilan	d ɐ AF h AA ɪ AD l a AD n
dakip	d ɐ AF x i AD p
dalagita	d ɐ AF l ɐ AF ɰ AB ɪ AD t ɐ AF
dalang	d a AD l ɐ AF ŋ
